Cliente Cabecera;Año Anterior;Proyecto Editorial;Año;Año Actual;Ejemplares;Facturación;CCAA;Titularidad;Código MEC;Estado Cliente;IdEducamos;Asignatura;Curso;TME;TS;Lengua;Etapa;Aulas;TARGET;SampleWeight
117253;05_EDB;;2017;90_NUS;16;287,52;Cataluña;Católico;8006313;4;EDU1795;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Catalán;Primaria;1;T;20
117484;06_EDV;;2017;06_EDV;79;1419,63;Cataluña;Católico;8017402;4;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Catalán;Primaria;4;F;20
117534;03_SAN;16PROYSAN1;2017;03_SAN;50;898,5;Cataluña;Privado;8016501;4;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Catalán;Primaria;2;F;19,984694
125190;03_SAN;16PROYSAN1;2017;03_SAN;55;988,35;Cataluña;Privado;25002350;4;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Catalán;Primaria;3;F;19,984694
132160;03_SAN;;2017;03_SAN;50;898,5;Cataluña;Público;43004979;4;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Catalán;Primaria;2;F;20,000612
165474;08_VIV;;2017;08_VIV;53;952,41;Islas Baleares;Católico;7000111;3;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Catalán;Primaria;3;F;19,96
168338;05_EDB;PROYEDB14;2017;05_EDB;4;71,88;Cataluña;Público;43005534;3;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Catalán;Primaria;1;F;20,000612
174180;03_SAN;16PROYSAN1;2017;03_SAN;29;521,13;Cataluña;Católico;8027353;4;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Catalán;Primaria;2;F;20
202317;03_SAN;;2017;03_SAN;27;485,19;Cataluña;Católico;43004372;4;EDU815;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Catalán;Primaria;2;F;20
121263;03_SAN;PROYSAN10;2017;03_SAN;14;268,66;Galicia;Privado;15010071;3;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Gallego;Primaria;1;F;19,963542
128464;02_ANA;;2017;02_ANA;25;479,75;Galicia;Católico;36000417;4;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Gallego;Primaria;1;F;20,039604
140544;01_SM;0000000443;2017;01_SM;21;402,99;Galicia;Público;32004118;4;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Gallego;Primaria;1;F;20,00417
164859;03_SAN;PROYSAN10;2017;03_SAN;8;153,52;Galicia;Público;15022577;4;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Gallego;Primaria;1;F;20,00417
164867;03_SAN;PROYSAN10;2017;03_SAN;31;594,89;Galicia;Público;15007621;4;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Gallego;Primaria;2;F;20,00417
164889;05_EDB;PROYEDB14;2017;05_EDB;51;978,69;Galicia;Público;15027253;4;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Gallego;Primaria;3;F;20,00417
165164;06_EDV;PROYEDV13;2017;06_EDV;11;211,09;Galicia;Público;32001671;4;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Gallego;Primaria;1;F;20,00417
165166;03_SAN;PROYSAN10;2017;03_SAN;1;19,19;Galicia;Público;32015025;3;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Gallego;Primaria;1;F;20,00417
165173;06_EDV;PROYEDV13;2017;06_EDV;1;19,19;Galicia;Público;32015918;4;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Gallego;Primaria;1;F;20,00417
165258;03_SAN;PROYSAN10;2017;03_SAN;13;249,47;Galicia;Público;36009032;4;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Gallego;Primaria;1;F;20,00417
165502;08_VIV;;2017;90_NUS;10;191,9;Galicia;Público;36015950;4;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Gallego;Primaria;1;T;20,00417
165593;01_SM;0000000443;2017;01_SM;111;2130,09;Galicia;Público;15025220;4;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Gallego;Primaria;5;F;20,00417
165705;03_SAN;PROYSAN10;2017;90_NUS;18;345,42;Galicia;Público;15002025;4;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Gallego;Primaria;1;T;20,00417
166853;06_EDV;PROYEDV13;2017;06_EDV;3;57,57;Galicia;Público;32016236;3;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Gallego;Primaria;1;F;20,00417
167104;02_ANA;PROYANA2;2017;90_NUS;25;479,75;Galicia;Público;36009998;4;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Gallego;Primaria;1;T;20,00417
167983;06_EDV;PROYEDV13;2017;02_ANA;14;268,66;Galicia;Público;15025542;4;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Gallego;Primaria;1;F;20,00417
169368;03_SAN;PROYSAN10;2017;90_NUS;13;249,47;Galicia;Público;27006048;4;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Gallego;Primaria;1;T;20,00417
169695;01_SM;0000000443;2017;01_SM;20;383,8;Galicia;Público;36014738;4;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Gallego;Primaria;1;F;20,00417
169757;02_ANA;PROYANA2;2017;02_ANA;36;690,84;Galicia;Público;36015241;4;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Gallego;Primaria;2;F;20,00417
170197;02_ANA;PROYANA2;2017;02_ANA;43;825,17;Galicia;Público;32000058;4;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Gallego;Primaria;2;F;20,00417
170247;08_VIV;;2017;08_VIV;22;422,18;Galicia;Público;32011755;4;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Gallego;Primaria;1;F;20,00417
170722;02_ANA;PROYANA2;2017;06_EDV;73;1400,87;Galicia;Católico;15015378;4;EDU704;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Gallego;Primaria;3;F;20,039604
171699;02_ANA;PROYANA2;2017;02_ANA;47;901,93;Galicia;Católico;36001008;4;EDU1285;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Gallego;Primaria;2;F;20,039604
171710;08_VIV;;2017;08_VIV;28;537,32;Galicia;Público;15003200;4;;Ciencias de la naturaleza;1º Primaria;Básico;PAPEL;Gallego;Primaria;2;F;20,00417
